Time,Category level 0,Category level 1,Category level 2,Unique SKUs Listed,Unique SKUs Sold,# of sold SKU items,Price before Discount (includ. VAT) (EUR),Discount Value (EUR),Item COGS (net VAT) (EUR),"Waste, # of items"
2023-07-28,Grocery Food,🥤 Beverages,Iced Tea,28,20,63,92.186529,6.577368,56.39424,0
2023-09-28,Grocery Food,🍬 Sweet Snacks,Biscuits,55,35,83,170.879137,5.559496,105.98022,2
2023-09-02,Grocery Food,🥃 Spirits,Vodka,10,3,8,99.18772,2.444739,62.71865,0
2023-08-07,Grocery Food,🍺 Beer & Cider,Non-Alcoholic Beer & Cider,11,7,30,48.704258,1.931202,28.64036,0
2023-08-23,Grocery Food,🍿 Salty Snacks,Nuts,19,12,26,77.306928,3.178607,53.62369,0
2023-07-05,Grocery Food,🥘 Instant Meals,Instant Meals,12,6,10,35.378872,2.241469,22.95953,0
2023-09-08,Grocery Food,❄️ Frozen Products,Frozen Fruits & Berries,7,3,4,20.332601,1.812534,11.48341,0
2023-08-02,Grocery Food,🍬 Sweet Snacks,Bio & Special Nutrition Snacks,15,2,7,14.737998,2.747797,8.02251,0
2023-09-13,Grocery Food,🍬 Sweet Snacks,Candies,8,3,9,16.601341,0.907429,12.25332,0
2023-09-07,Grocery Food,🍿 Salty Snacks,Popcorn,7,6,29,25.513182,0.20151,16.53553,0
2023-08-29,Grocery Food,🍿 Salty Snacks,Dips,3,3,6,24.036567,3.206494,15.43936,0
2023-07-07,Grocery Food,🥫 Canned Goods & Preserves,Canned Fish,35,10,24,74.561438,4.81784,46.3793,0
2023-09-09,Grocery Food,🍺 Beer & Cider,International Beer,31,18,243,401.471609,20.188751,232.99628,0
2023-08-16,Grocery Food,🍬 Sweet Snacks,Cereal Bars,25,14,55,71.418091,2.958445,45.8863,0
2023-07-14,Grocery Food,🍷 Wine,Non-Alcoholic Wine,2,1,1,12.350694,2.470544,6.09536,0
2023-09-14,Grocery Food,🍺 Beer & Cider,Craft Beer,13,1,3,8.624132,0,5.00308,0
2023-08-10,Grocery Food,🍿 Salty Snacks,Seeds,18,12,36,56.647444,1.763911,34.549,0
2023-07-24,Grocery Food,❄️ Frozen Products,Frozen Meals,26,10,17,72.980949,6.923464,45.85829,0
2023-08-23,Grocery Food,🥫 Canned Goods & Preserves,Canned Meat & Fish Alternatives,1,0,0,0,0,0,0
2023-09-18,Grocery Food,🥫 Canned Goods & Preserves,Olives & Antipasti,6,4,6,18.099197,0.764698,12.19732,0
2023-07-02,Grocery Food,🍬 Sweet Snacks,Chocolate Tablets,73,30,67,120.868604,5.507599,75.42395,1
2023-07-11,Grocery Food,🥘 Instant Meals,Cup Meals,9,5,8,13.517983,0.525206,7.49631,0
2023-07-20,Grocery Food,🥃 Spirits,Aperitifs,1,1,1,15.328085,1.531796,8.70246,0
2023-09-13,Grocery Food,"☕️ Coffee, Tea & Cocoa",Coffee Beans,8,3,3,32.99142,0,21.93968,0
2023-09-18,Grocery Food,🥤 Beverages,Energy Drinks,30,22,103,129.57005,8.258739,83.61309,0
2023-08-03,Grocery Food,🥫 Canned Goods & Preserves,Pickled Vegetable,8,6,9,22.761372,0.681164,13.72939,0
2023-09-23,Grocery Food,🥫 Canned Goods & Preserves,Pickled Vegetable,6,3,9,33.158603,0,20.40267,0
2023-09-08,Grocery Food,🥫 Canned Goods & Preserves,Canned Meat & Fish Alternatives,1,1,1,4.609877,0,3.27263,0
2023-09-02,Grocery Food,🍷 Wine,Sparkling Wine,25,6,16,157.562436,-18.179971,102.15053,0
2023-07-27,Grocery Food,❄️ Frozen Products,Frozen Desserts,7,2,2,13.286604,3.987199,9.15128,0
2023-07-12,Grocery Food,❄️ Frozen Products,Frozen Vegetables,14,9,15,36.418312,4.505566,22.55814,0
2023-08-02,Grocery Food,"☕️ Coffee, Tea & Cocoa",Coffee Beans,8,2,2,29.378728,0,19.93369,0
2023-07-23,Grocery Food,💧 Water & Flavoured Water,Flavoured Still water,13,12,48,68.728422,3.285229,40.06328,0
2023-07-23,Grocery Food,🥫 Canned Goods & Preserves,Canned Fish,30,10,28,60.398813,4.499206,40.10577,0
2023-09-07,Grocery Food,🧑‍🍳 Pantry,"Honey, Jam & Spreads",37,11,19,73.875583,2.772778,47.07276,0
2023-09-01,Grocery Food,🍷 Wine,Bio & Organic Wine,4,2,2,18.785398,0,11.83937,0
2023-07-01,Grocery Food,🥫 Canned Goods & Preserves,Canned Vegetable,45,12,38,64.308021,2.499143,42.38615,0
2023-07-05,Grocery Food,🥤 Beverages,Sports & Functional Drinks,4,3,20,34.086495,0.195876,20.59164,0
2023-09-20,Grocery Food,🍿 Salty Snacks,Nuts,19,8,11,33.396114,2.378108,22.99944,0
2023-07-06,Grocery Food,🥃 Spirits,Rum,12,3,6,102.117372,13.682796,59.46112,0
2023-09-12,Grocery Food,❄️ Frozen Products,Frozen Meat & Poultry,2,1,2,11.901036,1.190505,7.88308,0
2023-09-24,Grocery Food,🥘 Instant Meals,Instant Meals,12,6,10,35.605939,0.969799,22.66388,0
2023-09-08,Grocery Food,🥘 Instant Meals,Instant Soups,11,3,19,17.88568,0.322228,10.80271,0
2023-08-05,Grocery Food,🧑‍🍳 Pantry,More Pantry,8,0,0,0,0,0,0
2023-07-04,Grocery Food,🥤 Beverages,Nectar Drinks,6,4,5,17.76458,0.40397,10.32345,0
2023-08-30,Grocery Food,🍬 Sweet Snacks,Bio & Special Nutrition Snacks,14,2,2,5.561664,1.113143,3.48718,0
2023-09-24,Grocery Food,🥤 Beverages,Bitters & Tonic,17,13,45,82.409788,1.189072,45.74826,0
2023-08-31,Grocery Food,🥫 Canned Goods & Preserves,Olives & Antipasti,6,3,4,16.32548,0,10.90119,0
2023-09-09,Grocery Food,🥃 Spirits,Gin,11,4,10,202.538386,14.178906,116.74891,0
2023-07-08,Grocery Food,🍿 Salty Snacks,Crackers,8,6,11,21.421364,0.505268,12.72871,0
2023-09-16,Grocery Food,🧑‍🍳 Pantry,Cereal & Muesli,43,12,36,61.829028,1.596679,37.76848,0
2023-07-11,Grocery Food,💧 Water & Flavoured Water,Flavoured Sparkling water,1,1,1,1.270594,0,0.67671,0
2023-07-05,Grocery Food,🍿 Salty Snacks,Rice & Corn Cakes,13,12,24,28.222323,1.280262,17.89237,0
2023-08-14,Grocery Food,🧑‍🍳 Pantry,More Pantry,8,1,1,3.438035,0,1.96893,0
2023-08-25,Grocery Food,🥃 Spirits,Vodka,10,3,4,47.544248,0,28.80521,0
2023-09-27,Grocery Food,🧑‍🍳 Pantry,Sugar Free Pantry,2,0,0,0,0,0,0
2023-07-07,Grocery Food,❄️ Frozen Products,Frozen Pizza,12,10,21,86.642381,2.204979,54.33498,0
2023-09-29,Grocery Food,🥘 Instant Meals,Instant Pasta & Noodles,4,4,9,20.328572,0,12.99411,0
2023-07-17,Grocery Food,🧑‍🍳 Pantry,"Sugar, Flour & Baking",50,12,33,29.483758,2.351253,17.78215,0
2023-07-21,Grocery Food,🧑‍🍳 Pantry,Gluten Free Cereal,3,0,0,0,0,0,0
2023-09-14,Grocery Food,🍬 Sweet Snacks,Chocolate Tablets,74,35,66,121.393862,6.047194,74.95793,0
2023-08-10,Grocery Food,🍷 Wine,Non-Alcoholic Wine,2,1,1,3.25474,0,1.6652,0
2023-08-16,Grocery Food,🧑‍🍳 Pantry,Spices & Flavouring,40,12,17,32.731348,1.677804,20.25524,0
2023-08-02,Grocery Food,🥤 Beverages,Soft Drinks,65,52,393,635.209148,37.460016,424.65425,0
2023-08-04,Grocery Food,🧑‍🍳 Pantry,Spices & Flavouring,40,8,15,18.222844,1.689882,11.30926,0
2023-09-15,Grocery Food,"☕️ Coffee, Tea & Cocoa",Ground Coffee,14,4,7,28.615928,1.333922,17.11523,0
2023-07-24,Grocery Food,🧑‍🍳 Pantry,"Sugar, Flour & Baking",50,20,59,58.5364,4.659009,33.76564,0
2023-08-10,Grocery Food,🧑‍🍳 Pantry,"Sugar, Flour & Baking",49,14,27,46.571711,3.940479,28.78719,0
2023-07-12,Grocery Food,❄️ Frozen Products,Frozen Meals,28,15,22,86.793778,16.506938,54.01426,0
2023-09-02,Grocery Food,🍿 Salty Snacks,Bio & Special Nutrition Snacks,4,3,11,13.918852,0.242454,9.2193,0
2023-09-29,Grocery Food,❄️ Frozen Products,Frozen Fish & Seafood,7,3,6,37.987145,1.206324,25.9058,0
2023-08-28,Grocery Food,❄️ Frozen Products,Frozen Pizza,9,8,14,59.553527,4.826477,36.40099,0
2023-09-14,Grocery Food,🍬 Sweet Snacks,More Sweet Snacks,6,2,9,14.466092,0.563274,9.46301,0
2023-08-28,Grocery Food,❄️ Frozen Products,Frozen Potatoes,6,4,12,30.991482,0.659997,17.49191,0
2023-07-13,Grocery Food,❄️ Frozen Products,Bio & Special Nutrition Meals,12,10,16,61.651304,9.529992,39.07761,0
2023-08-25,Grocery Food,🍿 Salty Snacks,Nuts,19,13,29,108.736509,1.150328,75.30157,0
2023-07-07,Grocery Food,🍿 Salty Snacks,Crackers,8,5,8,10.806824,0,6.53016,0
2023-09-28,Grocery Food,🍺 Beer & Cider,Non-Alcoholic Beer & Cider,10,4,30,50.288719,0.506505,29.71135,0
2023-08-27,Grocery Food,🍬 Sweet Snacks,Cereal Bars,25,13,40,55.139343,0.86092,35.83451,0
2023-09-25,Grocery Food,🍷 Wine,White Wine,85,16,39,296.876479,0,188.7337,0
2023-08-20,Grocery Food,🧑‍🍳 Pantry,Sugar Free Pantry,2,2,2,6.265652,1.25394,2.53174,0
2023-09-19,Grocery Food,🍷 Wine,Bio & Organic Wine,4,1,1,8.045245,0,6.03544,0
2023-08-31,Grocery Food,🥃 Spirits,Aperitifs,1,1,3,45.934386,3.062292,26.07909,0
2023-07-28,Grocery Food,🍷 Wine,Non-Alcoholic Wine,2,0,0,0,0,0,0
2023-09-16,Grocery Food,💧 Water & Flavoured Water,Sparkling water,16,13,210,212.155988,0.277508,120.14078,0
2023-07-12,Grocery Food,🍿 Salty Snacks,Dips,3,2,2,7.996876,0.727356,5.16019,0
2023-09-11,Grocery Food,❄️ Frozen Products,Frozen Pastry,5,3,4,18.693906,3.123712,11.47511,0
2023-08-24,Grocery Food,🥤 Beverages,Sports & Functional Drinks,4,2,5,7.17934,0,4.57694,0
2023-09-25,Grocery Food,🍷 Wine,Sparkling Wine,25,5,11,119.432094,3.019062,74.28283,0
2023-08-09,Grocery Food,🍿 Salty Snacks,Dips,3,3,3,11.639764,2.329167,7.39996,0
2023-09-14,Grocery Food,🍺 Beer & Cider,Flavoured Beer & Hard Seltzer,5,3,32,39.40506,0,26.61873,0
2023-09-06,Grocery Food,🧑‍🍳 Pantry,Gluten Free Pasta,3,1,1,3.524695,0.705342,2.11603,0
2023-09-21,Grocery Food,🍬 Sweet Snacks,Chocolate Bars,30,20,89,92.079942,3.37572,59.45142,0
2023-08-19,Grocery Food,🥃 Spirits,Whiskey & Bourbon,17,4,9,168.445244,6.750381,102.18629,0
2023-08-22,Grocery Food,🥃 Spirits,Liqueurs,8,0,0,0,0,0,0
2023-09-30,Grocery Food,🥤 Beverages,Juices & Smoothies,44,25,49,95.080886,2.693566,58.01619,0
2023-08-20,Grocery Food,❄️ Frozen Products,Frozen Meat & Poultry,2,2,3,17.549082,1.197309,11.51805,0
2023-07-31,Grocery Food,🍷 Wine,Non-Alcoholic Wine,2,0,0,0,0,0,0
2023-07-10,Grocery Food,🍬 Sweet Snacks,Bio & Special Nutrition Snacks,15,5,5,13.831541,0.909305,8.68891,0
2023-09-10,Grocery Food,🥤 Beverages,Juices & Smoothies,46,22,54,94.816757,4.918857,56.40738,1
2023-07-31,Grocery Food,🥃 Spirits,Cocktails & Mixers,15,2,4,8.842621,0,4.53276,0
2023-08-25,Grocery Food,🥫 Canned Goods & Preserves,Canned Meat & Fish Alternatives,1,1,1,4.635747,0,3.291,0
2023-09-05,Grocery Food,🧑‍🍳 Pantry,Pasta & Noodles,23,7,11,21.533395,0.61351,12.82119,1
2023-09-08,Grocery Food,🍿 Salty Snacks,Crackers,13,6,12,19.712312,3.141727,12.15809,0
2023-09-13,Grocery Food,🍦 Ice Cream,Multi-packs,11,3,11,74.423348,2.464749,35.75396,0
2023-08-21,Grocery Food,❄️ Frozen Products,Frozen Desserts,5,0,0,0,0,0,0
2023-08-27,Grocery Food,🍦 Ice Cream,Special Nutrition Ice Cream,2,2,6,19.434492,1.296444,10.8739,0
2023-09-23,Grocery Food,🥫 Canned Goods & Preserves,Canned Vegetable,39,15,32,52.77709,1.121974,32.38112,0
2023-09-02,Grocery Food,🥤 Beverages,More Beverages,0,0,0,0,0,0,0
2023-07-12,Grocery Food,❄️ Frozen Products,Frozen Pastry,8,3,9,39.380267,2.600298,22.60867,0
2023-07-08,Grocery Food,🥫 Canned Goods & Preserves,Canned Fruits,9,3,4,8.662324,1.307636,5.32331,0
2023-07-13,Grocery Food,🍷 Wine,Sparkling Wine,22,11,18,268.791912,33.508874,162.3762,0
2023-09-06,Grocery Food,🧑‍🍳 Pantry,Oil & Vinegar,13,3,9,26.98639,0,17.50054,0
2023-09-16,Grocery Food,🥃 Spirits,Aperitifs,1,0,0,0,0,0,0
2023-07-26,Grocery Food,"☕️ Coffee, Tea & Cocoa",Coffee Beans,9,4,7,85.362564,9.309216,55.63257,0
2023-09-30,Grocery Food,🍺 Beer & Cider,Cider,13,3,5,9.05561,0.285438,5.74936,0
2023-09-14,Grocery Food,🥃 Spirits,Aperitifs,1,1,1,15.218465,2.283273,8.64023,0
2023-07-25,Grocery Food,🍷 Wine,Bio & Organic Wine,4,1,1,8.11846,0,6.09037,0
2023-07-17,Grocery Food,🧑‍🍳 Pantry,Gluten Free Flour & Baking,5,0,0,0,0,0,0
2023-08-30,Grocery Food,🍦 Ice Cream,Multi-packs,10,9,18,117.551862,5.019259,80.54897,0
2023-09-10,Grocery Food,❄️ Frozen Products,Frozen Meat & Poultry,2,1,1,5.561938,0,3.57827,0
2023-07-27,Grocery Food,🍦 Ice Cream,Special Nutrition Ice Cream,2,1,1,3.244545,0,1.76938,0
2023-08-11,Grocery Food,🍺 Beer & Cider,Flavoured Beer & Hard Seltzer,5,3,19,26.62447,2.664269,17.05659,0
2023-08-24,Grocery Food,🍿 Salty Snacks,Crackers,8,2,6,6.063455,0,3.60893,0
2023-08-16,Grocery Food,"☕️ Coffee, Tea & Cocoa",Tea,40,3,3,8.666625,1.499487,5.02329,0
